Station name	Scarrawalsh
Station number	12001
Time series name	WEB.Day.Mean
From	1955/09/05 00:00:00
To	2022/05/02 00:00:00
Unit	cubic meter per second

Date	Value	Quality
1956/02/15 00:00:00	6.405	F
1956/02/16 00:00:00	5.460	F
1956/02/17 00:00:00	6.387	F
1956/02/18 00:00:00	6.327	F
1956/02/19 00:00:00	6.728	F
1956/02/20 00:00:00	6.992	F
1956/02/21 00:00:00	7.661	F
1956/02/22 00:00:00	7.693	F
1956/02/23 00:00:00	7.711	F
1956/02/24 00:00:00	6.989	F
1956/02/25 00:00:00	7.293	F
1956/02/26 00:00:00	6.607	F
1956/02/27 00:00:00	6.700	F
1956/02/28 00:00:00	8.238	F
1956/02/29 00:00:00	11.695	F
1956/03/01 00:00:00	8.843	F
1956/03/02 00:00:00	7.204	F
1956/03/03 00:00:00	7.133	F
1956/03/04 00:00:00	7.077	F
1956/03/05 00:00:00	6.780	F
1956/03/06 00:00:00	6.267	F
1956/03/07 00:00:00	6.177	F
1956/03/08 00:00:00	6.279	F
1956/03/09 00:00:00	5.824	F
1956/03/10 00:00:00	5.822	F
1956/03/11 00:00:00	6.539	F
1956/03/12 00:00:00	7.008	F
1956/03/13 00:00:00	7.061	F
1956/03/14 00:00:00	6.643	F
1956/03/15 00:00:00	5.285	F
1956/03/16 00:00:00	5.275	F
1956/03/17 00:00:00	13.866	F
1956/03/18 00:00:00	8.235	F
1956/03/19 00:00:00	7.433	F
1956/03/20 00:00:00	6.649	F
1956/03/21 00:00:00	8.089	F
1956/03/22 00:00:00	26.857	F
1956/03/23 00:00:00	31.080	F
1956/03/24 00:00:00	20.419	F
1956/03/25 00:00:00	15.640	F
1956/03/26 00:00:00	15.042	F
1956/03/27 00:00:00	13.573	F
1956/03/28 00:00:00	10.602	F
1956/03/29 00:00:00	10.011	F
1956/03/30 00:00:00	9.258	F
1956/03/31 00:00:00	8.508	F
1956/04/01 00:00:00	7.304	F
1956/04/02 00:00:00	7.421	F
1956/04/03 00:00:00	6.988	F
1956/04/04 00:00:00	7.481	F
1956/04/05 00:00:00	8.097	F
1956/04/06 00:00:00	7.788	F
1956/04/07 00:00:00	7.374	F
1956/04/08 00:00:00	6.454	F
1956/04/09 00:00:00	7.109	F
1956/04/10 00:00:00	7.736	F
1956/04/11 00:00:00	7.570	F
1956/04/12 00:00:00	6.432	F
1956/04/13 00:00:00	6.699	F
1956/04/14 00:00:00	7.168	F
1956/04/15 00:00:00	6.811	F
1956/04/16 00:00:00	7.064	F
1956/04/17 00:00:00	6.905	F
1956/04/18 00:00:00	6.992	F
1956/04/19 00:00:00	6.908	F
1956/04/20 00:00:00	6.917	F
1956/04/21 00:00:00	7.006	F
1956/04/22 00:00:00	6.815	F
1956/04/23 00:00:00	6.323	F
1956/04/24 00:00:00	3.494	F
1956/04/25 00:00:00	1.689	F
1956/04/26 00:00:00	1.357	F
1956/04/27 00:00:00	1.298	F
1956/04/28 00:00:00	1.361	F
1956/04/29 00:00:00	1.335	F
1956/04/30 00:00:00	1.247	F
1956/05/01 00:00:00	1.162	F
1956/05/02 00:00:00	1.326	F
1956/05/03 00:00:00	1.246	F
1956/05/04 00:00:00	1.399	F
1956/05/05 00:00:00	1.474	F
1956/05/06 00:00:00	1.209	F
1956/05/07 00:00:00	1.105	F
1956/05/08 00:00:00	0.841	F
1956/05/09 00:00:00	1.717	F
1956/05/10 00:00:00	3.132	F
1956/05/11 00:00:00	2.469	F
1956/05/12 00:00:00	2.001	F
1956/05/13 00:00:00	1.523	F
1956/05/14 00:00:00	1.046	F
1956/05/15 00:00:00	1.023	F
1956/05/16 00:00:00	0.798	F
1956/05/17 00:00:00	0.838	F
1956/05/18 00:00:00	0.672	F
1956/05/19 00:00:00	0.775	F
1956/05/20 00:00:00	0.841	F
1956/05/21 00:00:00	0.631	F
1956/05/22 00:00:00	0.714	F
1956/05/23 00:00:00	0.822	F
1956/05/24 00:00:00	0.656	F
1956/05/25 00:00:00	0.485	F
1956/05/26 00:00:00	0.446	F
1956/05/27 00:00:00	0.624	F
1956/05/28 00:00:00	0.600	F
1956/05/29 00:00:00	0.676	F
1956/05/30 00:00:00	0.439	F
1956/05/31 00:00:00	0.489	F
1956/06/01 00:00:00	0.375	F
1956/06/02 00:00:00	0.402	F
1956/06/03 00:00:00	0.384	F
1956/06/04 00:00:00	0.537	F
1956/06/05 00:00:00	0.682	F
1956/06/06 00:00:00	0.800	F
1956/06/07 00:00:00	0.870	F
1956/06/08 00:00:00	0.790	F
1956/06/09 00:00:00	0.720	F
1956/06/10 00:00:00	0.308	F
1956/06/11 00:00:00	0.321	F
1956/06/12 00:00:00	0.302	F
1956/06/13 00:00:00	0.162	F
1956/06/14 00:00:00	0.183	F
1956/06/15 00:00:00	0.472	F
1956/06/16 00:00:00	1.005	F
1956/06/17 00:00:00	0.464	F
1956/06/18 00:00:00	0.319	F
1956/06/19 00:00:00	0.257	F
1956/06/20 00:00:00	0.240	F
1956/06/21 00:00:00	0.252	F
1956/06/22 00:00:00	0.318	F
1956/06/23 00:00:00	0.363	F
1956/06/24 00:00:00	0.338	F
1956/06/25 00:00:00	0.516	F
1956/06/26 00:00:00	0.205	F
1956/06/27 00:00:00	0.125	F
1956/06/28 00:00:00	0.157	F
1956/06/29 00:00:00	0.268	F
1956/06/30 00:00:00	0.229	F
1956/07/01 00:00:00	1.316	F
1956/07/02 00:00:00	2.724	F
1956/07/03 00:00:00	1.236	F
1956/07/04 00:00:00	0.554	F
1956/07/05 00:00:00	1.301	F
1956/07/06 00:00:00	0.851	F
1956/07/07 00:00:00	0.553	F
1956/07/08 00:00:00	0.569	F
1956/07/09 00:00:00	0.468	F
1956/07/10 00:00:00	0.252	F
1956/07/11 00:00:00	0.223	F
1956/07/12 00:00:00	0.251	F
1956/07/13 00:00:00	0.237	F
1956/07/14 00:00:00	0.319	F
1956/07/15 00:00:00	0.374	F
1956/07/16 00:00:00	0.302	F
1956/07/17 00:00:00	0.189	F
1956/07/18 00:00:00	0.218	F
1956/07/19 00:00:00	0.364	F
1956/07/20 00:00:00	0.469	F
1956/07/21 00:00:00	0.253	F
1956/07/22 00:00:00	0.315	F
1956/07/23 00:00:00	0.329	F
1956/07/24 00:00:00	0.535	F
1956/07/25 00:00:00	0.804	F
1956/07/26 00:00:00	1.120	F
1956/07/27 00:00:00	1.443	F
1956/07/28 00:00:00	1.408	F
1956/07/29 00:00:00	1.919	F
1956/07/30 00:00:00	0.715	F
1956/07/31 00:00:00	0.229	F
1956/08/01 00:00:00	3.010	F
1956/08/02 00:00:00	2.021	F
1956/08/03 00:00:00	1.218	F
1956/08/04 00:00:00	0.817	F
1956/08/05 00:00:00	0.834	F
1956/08/06 00:00:00	0.437	F
1956/08/07 00:00:00	0.226	F
1956/08/08 00:00:00	0.929	F
1956/08/09 00:00:00	1.870	F
1956/08/10 00:00:00	2.109	F
1956/08/11 00:00:00	1.926	F
1956/08/12 00:00:00	2.045	F
1956/08/13 00:00:00	4.252	F
1956/08/14 00:00:00	1.659	F
1956/08/15 00:00:00	0.137	F
1956/08/16 00:00:00	0.788	F
1956/08/17 00:00:00	5.369	F
1956/08/18 00:00:00	27.089	F
1956/08/19 00:00:00	7.837	F
1956/08/20 00:00:00	6.134	F
1956/08/21 00:00:00	2.323	F
1956/08/22 00:00:00	1.666	F
1956/08/23 00:00:00	1.550	F
1956/08/24 00:00:00	1.584	F
1956/08/25 00:00:00	1.242	F
1956/08/26 00:00:00	1.052	F
1956/08/27 00:00:00	1.199	F
1956/08/28 00:00:00	1.461	F
1956/08/29 00:00:00	1.807	F
1956/08/30 00:00:00	1.564	F
1956/08/31 00:00:00	2.877	F
1956/09/01 00:00:00	2.760	F
1956/09/02 00:00:00	3.316	F
1956/09/03 00:00:00	6.654	F
1956/09/04 00:00:00	2.304	F
1956/09/05 00:00:00	1.200	F
1956/09/06 00:00:00	12.581	F
1956/09/07 00:00:00	20.131	F
1956/09/08 00:00:00	7.843	F
1956/09/09 00:00:00	6.828	F
1956/09/10 00:00:00	6.069	F
1956/09/11 00:00:00	5.553	F
1956/09/12 00:00:00	3.504	F
1956/09/13 00:00:00	2.756	F
1956/09/14 00:00:00	1.642	F
1956/09/15 00:00:00	1.484	F
1956/09/16 00:00:00	1.506	F
1956/09/17 00:00:00	1.120	F
1956/09/18 00:00:00	1.073	F
1956/09/19 00:00:00	1.080	F
1956/09/20 00:00:00	1.175	F
1956/09/21 00:00:00	1.884	F
1956/09/22 00:00:00	2.677	F
1956/09/23 00:00:00	5.045	F
1956/09/24 00:00:00	6.157	F
1956/09/25 00:00:00	4.878	F
1956/09/26 00:00:00	2.140	F
1956/09/27 00:00:00	1.370	F
1956/09/28 00:00:00	1.509	F
1956/09/29 00:00:00	1.942	F
1956/09/30 00:00:00	3.060	F
1956/10/01 00:00:00	1.665	F
1956/10/02 00:00:00	1.249	F
1956/10/03 00:00:00	1.280	F
1956/10/04 00:00:00	1.127	F
1956/10/05 00:00:00	1.408	F
1956/10/06 00:00:00	1.396	F
1956/10/07 00:00:00	1.275	F
1956/10/08 00:00:00	1.859	F
1956/10/09 00:00:00	2.562	F
1956/10/10 00:00:00	3.382	F
1956/10/11 00:00:00	4.188	F
1956/10/12 00:00:00	5.112	F
1956/10/13 00:00:00	6.786	F
1956/10/14 00:00:00	8.463	F
1956/10/15 00:00:00	10.644	F
1956/10/16 00:00:00	12.102	F
1956/10/17 00:00:00	9.314	F
1956/10/18 00:00:00	7.162	F
1956/10/19 00:00:00	11.354	F
1956/10/20 00:00:00	28.630	F
1956/10/21 00:00:00	10.114	F
1956/10/22 00:00:00	7.862	F
1956/10/23 00:00:00	7.280	F
1956/10/24 00:00:00	7.597	F
1956/10/25 00:00:00	7.933	F
1956/10/26 00:00:00	7.809	F
1956/10/27 00:00:00	8.068	F
1956/10/28 00:00:00	7.068	F
1956/10/29 00:00:00	6.607	F
1956/10/30 00:00:00	6.636	F
1956/10/31 00:00:00	6.524	F
1956/11/01 00:00:00	6.721	F
1956/11/02 00:00:00	7.092	F
1956/11/03 00:00:00	6.706	F
1956/11/04 00:00:00	7.102	F
1956/11/05 00:00:00	5.546	F
1956/11/06 00:00:00	4.113	F
1956/11/07 00:00:00	4.630	F
1956/11/08 00:00:00	7.659	F
1956/11/09 00:00:00	16.919	F
1956/11/10 00:00:00	10.141	F
1956/11/11 00:00:00	9.061	F
1956/11/12 00:00:00	7.152	F
1956/11/13 00:00:00	8.577	F
1956/11/14 00:00:00	9.133	F
1956/11/15 00:00:00	9.118	F
1956/11/16 00:00:00	7.840	F
1956/11/17 00:00:00	6.748	F
1956/11/18 00:00:00	7.175	F
1956/11/19 00:00:00	6.839	F
1956/11/20 00:00:00	6.784	F
1956/11/21 00:00:00	7.732	F
1956/11/22 00:00:00	10.533	F
1956/11/23 00:00:00	21.445	F
1956/11/24 00:00:00	9.499	F
1956/11/25 00:00:00	8.830	F
1956/11/26 00:00:00	8.530	F
1956/11/27 00:00:00	9.968	F
1956/11/28 00:00:00	9.146	F
1956/11/29 00:00:00	8.180	F
1956/11/30 00:00:00	7.709	F
1956/12/01 00:00:00	7.407	F
1956/12/02 00:00:00	8.257	F
1956/12/03 00:00:00	7.869	F
1956/12/04 00:00:00	7.183	F
1956/12/05 00:00:00	7.543	F
1956/12/06 00:00:00	7.088	F
1956/12/07 00:00:00	6.604	F
1956/12/08 00:00:00	7.103	F
1956/12/09 00:00:00	7.056	F
1956/12/10 00:00:00	9.379	F
1956/12/11 00:00:00	10.963	F
1956/12/12 00:00:00	10.137	F
1956/12/13 00:00:00	12.086	F
1956/12/14 00:00:00	12.258	F
1956/12/15 00:00:00	12.114	F
1956/12/16 00:00:00	10.025	F
1956/12/17 00:00:00	8.153	F
1956/12/18 00:00:00	7.310	F
1956/12/19 00:00:00	7.186	F
1956/12/20 00:00:00	7.989	F
1956/12/21 00:00:00	8.359	F
1956/12/22 00:00:00	7.893	F
1956/12/23 00:00:00	11.249	F
1956/12/24 00:00:00	9.844	F
1956/12/25 00:00:00	52.392	F
1956/12/26 00:00:00	104.643	F
1956/12/27 00:00:00	26.341	F
1956/12/28 00:00:00	117.788	F
1956/12/29 00:00:00	141.090	F
1956/12/30 00:00:00	160.006	31
1956/12/31 00:00:00	96.732	31
1957/01/01 00:00:00	77.522	F
1957/01/02 00:00:00	53.565	F
1957/01/03 00:00:00	32.928	F
1957/01/04 00:00:00	19.095	F
1957/01/05 00:00:00	13.806	F
1957/01/06 00:00:00	10.316	F
1957/01/07 00:00:00	8.516	F
1957/01/08 00:00:00	8.497	F
1957/01/09 00:00:00	7.382	F
1957/01/10 00:00:00	6.887	F
1957/01/11 00:00:00	6.834	F
1957/01/12 00:00:00	6.644	F
1957/01/13 00:00:00	6.706	F
1957/01/14 00:00:00	7.847	F
1957/01/15 00:00:00	8.432	F
1957/01/16 00:00:00	8.454	F
1957/01/17 00:00:00	8.052	F
1957/01/18 00:00:00	8.771	F
1957/01/19 00:00:00	10.848	F
1957/01/20 00:00:00	13.140	F
1957/01/21 00:00:00	15.686	F
1957/01/22 00:00:00	25.891	F
1957/01/23 00:00:00	22.548	F
1957/01/24 00:00:00	25.496	F
1957/01/25 00:00:00	17.594	F
1957/01/26 00:00:00	19.170	F
1957/01/27 00:00:00	12.135	F
1957/01/28 00:00:00	7.391	F
1957/01/29 00:00:00	9.318	F
1957/01/30 00:00:00	12.551	F
1957/01/31 00:00:00	13.937	F
1957/02/01 00:00:00	12.805	F
1957/02/02 00:00:00	8.886	F
1957/02/03 00:00:00	20.158	F
1957/02/04 00:00:00	38.335	F
1957/02/05 00:00:00	40.422	F
1957/02/06 00:00:00	12.280	F
1957/02/07 00:00:00	38.614	F
1957/02/08 00:00:00	30.119	F
1957/02/09 00:00:00	11.487	F
1957/02/10 00:00:00	9.588	F
1957/02/11 00:00:00	8.522	F
1957/02/12 00:00:00	7.525	F
1957/02/13 00:00:00	9.929	F
1957/02/14 00:00:00	7.577	F
